Graph,Reward,Step,Node_U,Node_V,Edge,WasAdded,StepReward,AgentAction,GreedyAction,GreedyEdge,GreedyReward,AgentMatchedGreedy
Cesnet201006,PBR,7,26,47,26-47,True,0.004991959021458941,977,-1,N/A,,False
Cesnet201006,EFFRES,1,21,27,21-27,True,0.004100928253051882,824,-1,N/A,,False
Cesnet201006,EFFRES,2,6,33,6-33,True,0.045443240494690236,299,-1,N/A,,False
Cesnet201006,EFFRES,3,36,45,36-45,True,0.04338271047869071,1164,-1,N/A,,False
Cesnet201006,EFFRES,4,4,13,4-13,True,-0.0017859388908328562,194,-1,N/A,,False
Cesnet201006,EFFRES,5,7,42,7-42,True,0.03705555627062329,343,-1,N/A,,False
Cesnet201006,EFFRES,6,10,14,10-14,True,0.017966007961625417,437,-1,N/A,,False
Cesnet201006,EFFRES,7,26,47,26-47,True,0.05184497717869949,977,-1,N/A,,False
Cesnet201006,IVI,1,3,29,3-29,True,-5.0,166,-1,N/A,,False
Cesnet201006,IVI,2,6,34,6-34,True,0.0,300,-1,N/A,,False
Cesnet201006,IVI,3,36,45,36-45,True,0.0,1164,-1,N/A,,False
Cesnet201006,IVI,4,4,14,4-14,True,5.0,195,-1,N/A,,False
Cesnet201006,IVI,5,7,43,7-43,True,5.0,344,-1,N/A,,False
Cesnet201006,IVI,6,10,15,10-15,True,5.0,438,-1,N/A,,False
Cesnet201006,IVI,7,26,47,26-47,True,0.0,977,-1,N/A,,False
Cesnet201006,NNSI,1,4,21,4-21,True,-0.068965517241379,202,-1,N/A,,False
Cesnet201006,NNSI,2,6,34,6-34,True,0.0,300,-1,N/A,,False
Cesnet201006,NNSI,3,36,45,36-45,True,0.0,1164,-1,N/A,,False
Cesnet201006,NNSI,4,4,13,4-13,True,0.0,194,-1,N/A,,False
Cesnet201006,NNSI,5,7,43,7-43,True,0.0,344,-1,N/A,,False
Cesnet201006,NNSI,6,10,15,10-15,True,0.0,438,-1,N/A,,False
Cesnet201006,NNSI,7,26,47,26-47,True,0.0,977,-1,N/A,,False
AsnetAm,PBR,1,43,53,43-53,True,0.00283332961849011,1796,-1,N/A,,False
AsnetAm,PBR,2,38,39,38-39,True,0.009061627530225368,1667,-1,N/A,,False
AsnetAm,PBR,3,45,50,45-50,True,0.008847695791762622,1831,-1,N/A,,False
AsnetAm,PBR,4,4,63,4-63,True,0.001844738204810298,299,-1,N/A,,False
AsnetAm,PBR,5,22,53,22-53,True,-0.05889645678504777,1163,-1,N/A,,False
AsnetAm,PBR,6,40,54,40-54,True,-0.004186702395022204,1731,-1,N/A,,False
